portal,serial_no,name,level,source_id,parent_source_id,has_children,is_leaf_authority,source_url,fetched_at_utc
RTI Online,1,Cabinet Secretariat,0,8,,yes,no,https://rtionline.gov.in/request/allpa.php,2026-08-23T06:45:58.414113+00:00
RTI Online,2,Office of the Principal Scientific Adviser,1,3982,8,no,yes,https://rtionline.gov.in/request/allpa.php,2026-08-23T06:45:58.414113+00:00
RTI Online,3,Comptroller and Auditor General of India,0,110,,yes,no,https://rtionline.gov.in/request/allpa.php,2026-08-23T06:45:58.414113+00:00
RTI Online,4,"DGA/PDA, Central Expendiure (Agriculture, Food & Water Resources)",1,4333,110,no,yes,https://rtionline.gov.in/request/allpa.php,2026-08-23T06:45:58.414113+00:00
RTI Online,5,"DGA/PDA Defence-Commercial, Bengaluru",1,4246,110,no,yes,https://rtionline.gov.in/request/allpa.php,2026-08-23T06:45:58.414113+00:00
RTI Online,6,"DG/PD (Central), Bengaluru",1,4243,110,no,yes,https://rtionline.gov.in/request/allpa.php,2026-08-23T06:45:58.414113+00:00
RTI Online,7,"DG/PD International Centre for Environment Audit and Sustainable Development, Jaipur",1,4295,110,no,yes,https://rtionline.gov.in/request/allpa.php,2026-08-23T06:45:58.414113+00:00
RTI Online,8,DG/PD INTERNATIONAL CENTRE FOR INFORMATION SYSTEMS & AU.,1,4336,110,no,yes,https://rtionline.gov.in/request/allpa.php,2026-08-23T06:45:58.414113+00:00
RTI Online,9,"DG/PD NATIONAL ACADEMY OF AUDIT AND ACCOUNTS, SHIMLA",1,4354,110,no,yes,https://rtionline.gov.in/request/allpa.php,2026-08-23T06:45:58.414113+00:00
RTI Online,10,"DG/PD OF AUDIT (Air Force), New Delhi",1,4323,110,no,yes,https://rtionline.gov.in/request/allpa.php,2026-08-23T06:45:58.414113+00:00
RTI Online,11,"DG/PD of Audit (Central), Ahmedabad",1,4234,110,no,yes,https://rtionline.gov.in/request/allpa.php,2026-08-23T06:45:58.414113+00:00
RTI Online,12,"DG/PD of AUDIT (Central), Chandigarh",1,4255,110,no,yes,https://rtionline.gov.in/request/allpa.php,2026-08-23T06:45:58.414113+00:00
RTI Online,13,"DG/PD of AUDIT (Central), Chennai",1,4260,110,no,yes,https://rtionline.gov.in/request/allpa.php,2026-08-23T06:45:58.414113+00:00
RTI Online,14,DG/PD of Audit (Central Expenditure) NEW DELHI,1,4328,110,no,yes,https://rtionline.gov.in/request/allpa.php,2026-08-23T06:45:58.414113+00:00
RTI Online,15,"DG/PD OF AUDIT (Central), Hyderabad",1,4281,110,no,yes,https://rtionline.gov.in/request/allpa.php,2026-08-23T06:45:58.414113+00:00
RTI Online,16,"DG/PD OF AUDIT (Central), Kolkata",1,4300,110,no,yes,https://rtionline.gov.in/request/allpa.php,2026-08-23T06:45:58.414113+00:00
RTI Online,17,"DG/PD OF AUDIT (Central), Lucknow",1,4309,110,no,yes,https://rtionline.gov.in/request/allpa.php,2026-08-23T06:45:58.414113+00:00
RTI Online,18,"DG/PD OF AUDIT (Central), Mumbai",1,4313,110,no,yes,https://rtionline.gov.in/request/allpa.php,2026-08-23T06:45:58.414113+00:00
RTI Online,19,"DG/PD OF AUDIT (Central Railway), Mumbai",1,4317,110,no,yes,https://rtionline.gov.in/request/allpa.php,2026-08-23T06:45:58.414113+00:00
RTI Online,20,"DG/Pd OF AUDIT (COAL), Kolkata",1,4304,110,no,yes,https://rtionline.gov.in/request/allpa.php,2026-08-23T06:45:58.414113+00:00
RTI Online,21,"DG/PD of AUDIT (Defence Services), Chandigarh",1,4258,110,no,yes,https://rtionline.gov.in/request/allpa.php,2026-08-23T06:45:58.414113+00:00
RTI Online,22,"DG/PD OF AUDIT (Defence Services), New Delhi",1,4322,110,no,yes,https://rtionline.gov.in/request/allpa.php,2026-08-23T06:45:58.414113+00:00
RTI Online,23,"DG/PD OF AUDIT (DEFENCE SERVICES), PUNE",1,4339,110,no,yes,https://rtionline.gov.in/request/allpa.php,2026-08-23T06:45:58.414113+00:00
RTI Online,24,"DG/PD of AUDIT (East Central Railway), Hajipur (Bihar)",1,4278,110,no,yes,https://rtionline.gov.in/request/allpa.php,2026-08-23T06:45:58.414113+00:00
RTI Online,25,DG/PD of AUDIT (East Coast Railway) Bhubaneswar,1,4251,110,no,yes,https://rtionline.gov.in/request/allpa.php,2026-08-23T06:45:58.414113+00:00
RTI Online,26,"DG/PDOF AUDIT (Eastern Railway), Kolkata",1,4307,110,no,yes,https://rtionline.gov.in/request/allpa.php,2026-08-23T06:45:58.414113+00:00
RTI Online,27,DG/PD OF AUDIT (ENERGY) NEW DELHI,1,4332,110,no,yes,https://rtionline.gov.in/request/allpa.php,2026-08-23T06:45:58.414113+00:00
RTI Online,28,"DG/PD OF AUDIT (Environment & Scientific Departments), New Delhi",1,4326,110,no,yes,https://rtionline.gov.in/request/allpa.php,2026-08-23T06:45:58.414113+00:00
RTI Online,29,"DG/PD OF AUDIT (FINANCE & COMMUNICATION), DELHI",1,4334,110,no,yes,https://rtionline.gov.in/request/allpa.php,2026-08-23T06:45:58.414113+00:00
RTI Online,30,DG/PD OF AUDIT (Industry & Corporate Affairs) NEW DELHI,1,4327,110,no,yes,https://rtionline.gov.in/request/allpa.php,2026-08-23T06:45:58.414113+00:00
RTI Online,31,DG/PD OF AUDIT (INFRASTRUCTURE) NEW DELHI,1,4331,110,no,yes,https://rtionline.gov.in/request/allpa.php,2026-08-23T06:45:58.414113+00:00
RTI Online,32,"DG/PD OF AUDIT (MINES), Kolkata",1,4303,110,no,yes,https://rtionline.gov.in/request/allpa.php,2026-08-23T06:45:58.414113+00:00
RTI Online,33,"DG/PD OF AUDIT (Navy), New Delhi",1,4324,110,no,yes,https://rtionline.gov.in/request/allpa.php,2026-08-23T06:45:58.414113+00:00
RTI Online,34,DG/PD OF AUDIT NEW DELHI,1,4330,110,no,yes,https://rtionline.gov.in/request/allpa.php,2026-08-23T06:45:58.414113+00:00
RTI Online,35,"DG/PD of Audit, North Central Railway, Prayagraj",1,4241,110,no,yes,https://rtionline.gov.in/request/allpa.php,2026-08-23T06:45:58.414113+00:00
RTI Online,36,DG/PD OF AUDIT (North Eastern Railway) Gorakhpur,1,4271,110,no,yes,https://rtionline.gov.in/request/allpa.php,2026-08-23T06:45:58.414113+00:00
RTI Online,37,DG/PD of AUDIT (Northeast Frontier Railway) Guwahati,1,4273,110,no,yes,https://rtionline.gov.in/request/allpa.php,2026-08-23T06:45:58.414113+00:00
RTI Online,38,"DG/PD OF AUDIT (NORTHERN RAILWAY), NEW DELHI",1,4335,110,no,yes,https://rtionline.gov.in/request/allpa.php,2026-08-23T06:45:58.414113+00:00
RTI Online,39,"DG/PD of Audit (North Western Railway), Jaipur",1,4293,110,no,yes,https://rtionline.gov.in/request/allpa.php,2026-08-23T06:45:58.414113+00:00
RTI Online,40,"DG/PD of Audit Office, Kualalumpur",1,4364,110,no,yes,https://rtionline.gov.in/request/allpa.php,2026-08-23T06:45:58.414113+00:00
RTI Online,41,"DG/PD OF AUDIT (Ordnance Factories), Kolkata",1,4299,110,no,yes,https://rtionline.gov.in/request/allpa.php,2026-08-23T06:45:58.414113+00:00
RTI Online,42,"DG/PD of Audit (Railway Commercial), New Delhi",1,4325,110,no,yes,https://rtionline.gov.in/request/allpa.php,2026-08-23T06:45:58.414113+00:00
RTI Online,43,"DG/PD OF AUDIT (SHIPPING), Mumbai",1,4314,110,no,yes,https://rtionline.gov.in/request/allpa.php,2026-08-23T06:45:58.414113+00:00
RTI Online,44,"DG/PD OF AUDIT (SOUTH CENTRAL RAILWAY), SECUNDERABAD",1,4348,110,no,yes,https://rtionline.gov.in/request/allpa.php,2026-08-23T06:45:58.414113+00:00
RTI Online,45,DG/PD of AUDIT (South East Central Railway),1,4252,110,no,yes,https://rtionline.gov.in/request/allpa.php,2026-08-23T06:45:58.414113+00:00
RTI Online,46,"DG/PD OF AUDIT (South Eastern Railway), Kolkata",1,4305,110,no,yes,https://rtionline.gov.in/request/allpa.php,2026-08-23T06:45:58.414113+00:00
RTI Online,47,"DG/PD OF AUDIT (Southern Railway), Chennai",1,4264,110,no,yes,https://rtionline.gov.in/request/allpa.php,2026-08-23T06:45:58.414113+00:00
RTI Online,48,"DG/PD of AUDIT (South Western Railway), Hubbali",1,4279,110,no,yes,https://rtionline.gov.in/request/allpa.php,2026-08-23T06:45:58.414113+00:00
RTI Online,49,DG/PD OF AUDIT (STEEL) RANCHI,1,4346,110,no,yes,https://rtionline.gov.in/request/allpa.php,2026-08-23T06:45:58.414113+00:00
RTI Online,50,DG/PD of AUDIT (West Central Railway) Jabalpur,1,4289,110,no,yes,https://rtionline.gov.in/request/allpa.php,2026-08-23T06:45:58.414113+00:00
RTI Online,51,"DG/PD OF AUDIT (Western Railway), Mumbai",1,4316,110,no,yes,https://rtionline.gov.in/request/allpa.php,2026-08-23T06:45:58.414113+00:00
RTI Online,52,"DG/PD of COMMERCIAL (AUDIT), Chennai",1,4263,110,no,yes,https://rtionline.gov.in/request/allpa.php,2026-08-23T06:45:58.414113+00:00
RTI Online,53,"DG/PD of COMMERCIAL AUDIT, Hyderabad",1,4284,110,no,yes,https://rtionline.gov.in/request/allpa.php,2026-08-23T06:45:58.414113+00:00
RTI Online,54,"DG/PD Railway Producation Units & Metro Railway, Kolkata",1,4306,110,no,yes,https://rtionline.gov.in/request/allpa.php,2026-08-23T06:45:58.414113+00:00
RTI Online,55,"DG/PD REGIONAL CAPACITY BUILDING and KNOWLEDGE INSITUTE, Hyderabad",1,4285,110,no,yes,https://rtionline.gov.in/request/allpa.php,2026-08-23T06:45:58.414113+00:00
RTI Online,56,"DG/PD REGIONAL CAPACITY BUILDING and KNOWLEDGE INSITUTE, Jaipur",1,4294,110,no,yes,https://rtionline.gov.in/request/allpa.php,2026-08-23T06:45:58.414113+00:00
RTI Online,57,"DG/PD REGIONAL CAPACITY BUILDING and KNOWLEDGE INSITUTE, Kolkata",1,4308,110,no,yes,https://rtionline.gov.in/request/allpa.php,2026-08-23T06:45:58.414113+00:00
RTI Online,58,"DG/PD REGIONAL CAPACITY BUILDING and KNOWLEDGE INSITUTE, Mumbai",1,4318,110,no,yes,https://rtionline.gov.in/request/allpa.php,2026-08-23T06:45:58.414113+00:00
RTI Online,59,"DG/PD REGIONAL CAPACITY BUILDING and KNOWLEDGE INSITUTE, Nagpur",1,4321,110,no,yes,https://rtionline.gov.in/request/allpa.php,2026-08-23T06:45:58.414113+00:00
RTI Online,60,"DG/PD REGIONAL CAPACITY BUILDING and KNOWLEDGE INSITUTE, Ranchi",1,4347,110,no,yes,https://rtionline.gov.in/request/allpa.php,2026-08-23T06:45:58.414113+00:00
RTI Online,61,"DG/PD REGIONAL CAPACITY BUILDING AND KNOWLEDGE INSTITUTE, Chennai",1,4265,110,no,yes,https://rtionline.gov.in/request/allpa.php,2026-08-23T06:45:58.414113+00:00
RTI Online,62,"DG/PD Regional Capacity Building & Knowledge Institute, Jammu",1,4357,110,no,yes,https://rtionline.gov.in/request/allpa.php,2026-08-23T06:45:58.414113+00:00
RTI Online,63,"DG/PD Regional Capacity Building & Knowledge Institute, Prayagraj (UP)",1,4367,110,no,yes,https://rtionline.gov.in/request/allpa.php,2026-08-23T06:45:58.414113+00:00
RTI Online,64,DG/PD REGIONAL CAPACITY BUILDING & KNOWLEDGE INSTITUTE SHILLONG,1,4351,110,no,yes,https://rtionline.gov.in/request/allpa.php,2026-08-23T06:45:58.414113+00:00
RTI Online,65,"DG/PD The India Audit Office, London",1,4362,110,no,yes,https://rtionline.gov.in/request/allpa.php,2026-08-23T06:45:58.414113+00:00
RTI Online,66,"DG/PD The India Audit Office, Washington DC",1,4363,110,no,yes,https://rtionline.gov.in/request/allpa.php,2026-08-23T06:45:58.414113+00:00
RTI Online,67,"PAG/AG (A & E), Assam, Guwahati",1,4272,110,no,yes,https://rtionline.gov.in/request/allpa.php,2026-08-23T06:45:58.414113+00:00
RTI Online,68,"PAG/AG (A & E) BIHAR, PATNA",1,4337,110,no,yes,https://rtionline.gov.in/request/allpa.php,2026-08-23T06:45:58.414113+00:00
RTI Online,69,"PAG/AG (A&E) CHHATTISGARH, RAIPUR",1,4340,110,no,yes,https://rtionline.gov.in/request/allpa.php,2026-08-23T06:45:58.414113+00:00
RTI Online,70,"PAG/AG (A & E) GUJARAT, RAJKOT",1,4342,110,no,yes,https://rtionline.gov.in/request/allpa.php,2026-08-23T06:45:58.414113+00:00
RTI Online,71,"PAG/AG (A & E), Haryana, Chandigarh",1,4253,110,no,yes,https://rtionline.gov.in/request/allpa.php,2026-08-23T06:45:58.414113+00:00
RTI Online,72,"PAG/AG (A & E) HIMACHAL PRADESH, SHIMLA",1,4352,110,no,yes,https://rtionline.gov.in/request/allpa.php,2026-08-23T06:45:58.414113+00:00
RTI Online,73,"PAG/AG (A & E) - II, Madhya Pradesh, Gwalior",1,4276,110,no,yes,https://rtionline.gov.in/request/allpa.php,2026-08-23T06:45:58.414113+00:00
RTI Online,74,"PAG/AG (A & E) - II, Maharashtra, Nagpur",1,4319,110,no,yes,https://rtionline.gov.in/request/allpa.php,2026-08-23T06:45:58.414113+00:00
RTI Online,75,"PAG/AG (A & E)-II, Prayagraj (UP)",1,4239,110,no,yes,https://rtionline.gov.in/request/allpa.php,2026-08-23T06:45:58.414113+00:00
RTI Online,76,"PAG/AG (A & E) - I, Madhya Pradesh, Gwalior",1,4275,110,no,yes,https://rtionline.gov.in/request/allpa.php,2026-08-23T06:45:58.414113+00:00
RTI Online,77,"PAG/AG (A & E) - I, Maharashtra, Mumbai",1,4311,110,no,yes,https://rtionline.gov.in/request/allpa.php,2026-08-23T06:45:58.414113+00:00
RTI Online,78,"PAG/AG (A & E)-I, Prayagraj",1,4238,110,no,yes,https://rtionline.gov.in/request/allpa.php,2026-08-23T06:45:58.414113+00:00
RTI Online,79,"PAG/AG (A & E), Karnataka, Bengaluru",1,4242,110,no,yes,https://rtionline.gov.in/request/allpa.php,2026-08-23T06:45:58.414113+00:00
RTI Online,80,"PAG/AG (A & E) KERALA,THIRUVANANTHAPURAM",1,4358,110,no,yes,https://rtionline.gov.in/request/allpa.php,2026-08-23T06:45:58.414113+00:00
RTI Online,81,"PAG/AG (A & E) , Kohima",1,4296,110,no,yes,https://rtionline.gov.in/request/allpa.php,2026-08-23T06:45:58.414113+00:00
RTI Online,82,"PAG/AG (A & E), Manipur, Imphal",1,4286,110,no,yes,https://rtionline.gov.in/request/allpa.php,2026-08-23T06:45:58.414113+00:00
RTI Online,83,"PAG/AG (A & E)MEGHALAYA, SHILLONG",1,4349,110,no,yes,https://rtionline.gov.in/request/allpa.php,2026-08-23T06:45:58.414113+00:00
RTI Online,84,"PAG/AG (A & E), Odisha, Bhubaneswar",1,4248,110,no,yes,https://rtionline.gov.in/request/allpa.php,2026-08-23T06:45:58.414113+00:00
RTI Online,85,"PAG/AG (A & E), Rajasthan, Jaipur",1,4290,110,no,yes,https://rtionline.gov.in/request/allpa.php,2026-08-23T06:45:58.414113+00:00
RTI Online,86,PAG/AG (A & E) SRINAGAR (J&K),1,4355,110,no,yes,https://rtionline.gov.in/request/allpa.php,2026-08-23T06:45:58.414113+00:00
RTI Online,87,"PAG/AG (A & E), Tamil Nadu, Chennai",1,4259,110,no,yes,https://rtionline.gov.in/request/allpa.php,2026-08-23T06:45:58.414113+00:00
RTI Online,88,"PAG/AG (A & E), Telangana, Hyderabad",1,4280,110,no,yes,https://rtionline.gov.in/request/allpa.php,2026-08-23T06:45:58.414113+00:00
RTI Online,89,"PAG/AG (A & E),Tripura, Agrtala",1,4233,110,no,yes,https://rtionline.gov.in/request/allpa.php,2026-08-23T06:45:58.414113+00:00
RTI Online,90,"PAG/AG (A & E), Uttarakhand, Dehradun",1,4266,110,no,yes,https://rtionline.gov.in/request/allpa.php,2026-08-23T06:45:58.414113+00:00
RTI Online,91,"PAG/AG (A & E), West Bengal, Kolkata",1,4298,110,no,yes,https://rtionline.gov.in/request/allpa.php,2026-08-23T06:45:58.414113+00:00
RTI Online,92,"PAG/AG, Aizwal",1,4237,110,no,yes,https://rtionline.gov.in/request/allpa.php,2026-08-23T06:45:58.414113+00:00
RTI Online,93,"PAG/AG (AUDIT), Andhra Pradesh, Vijayawada",1,4282,110,no,yes,https://rtionline.gov.in/request/allpa.php,2026-08-23T06:45:58.414113+00:00
RTI Online,94,"PAG/AG (AUDIT) ANDHRA PRADESH, VIJAYAWADA",1,4361,110,no,yes,https://rtionline.gov.in/request/allpa.php,2026-08-23T06:45:58.414113+00:00
RTI Online,95,"PAG/AG (Audit), Arunachal Pradesh, Itanagar",1,4288,110,no,yes,https://rtionline.gov.in/request/allpa.php,2026-08-23T06:45:58.414113+00:00
RTI Online,96,"PAG/AG (AUDIT), Assam, Guwahati",1,4274,110,no,yes,https://rtionline.gov.in/request/allpa.php,2026-08-23T06:45:58.414113+00:00
RTI Online,97,"PAG/AG (AUDIT) BIHAR, PATNA",1,4338,110,no,yes,https://rtionline.gov.in/request/allpa.php,2026-08-23T06:45:58.414113+00:00
RTI Online,98,"PAG/AG (AUDIT) CHHATTISGARH, RAIPUR",1,4341,110,no,yes,https://rtionline.gov.in/request/allpa.php,2026-08-23T06:45:58.414113+00:00
RTI Online,99,"PAG/AG (AUDIT), Haryana, Chandigarh",1,4256,110,no,yes,https://rtionline.gov.in/request/allpa.php,2026-08-23T06:45:58.414113+00:00
RTI Online,100,"PAG/AG (AUDIT) HIMACHAL PRADESH, SHIMLA",1,4353,110,no,yes,https://rtionline.gov.in/request/allpa.php,2026-08-23T06:45:58.414113+00:00
RTI Online,101,"PAG/AG (AUDIT)-I, Chennai",1,4261,110,no,yes,https://rtionline.gov.in/request/allpa.php,2026-08-23T06:45:58.414113+00:00
RTI Online,102,"PAG/AG (AUDIT)-I GUJARAT, RAJKOT",1,4343,110,no,yes,https://rtionline.gov.in/request/allpa.php,2026-08-23T06:45:58.414113+00:00
RTI Online,103,"PAG/AG (AUDIT)-II, Chennai",1,4262,110,no,yes,https://rtionline.gov.in/request/allpa.php,2026-08-23T06:45:58.414113+00:00
RTI Online,104,"PAG/AG (Audit)-II, Gujarat, Ahmedabad",1,4236,110,no,yes,https://rtionline.gov.in/request/allpa.php,2026-08-23T06:45:58.414113+00:00
RTI Online,105,"PAG/AG (AUDIT)-II, Karnataka, Bengaluru",1,4245,110,no,yes,https://rtionline.gov.in/request/allpa.php,2026-08-23T06:45:58.414113+00:00
RTI Online,106,"PAG/AG (AUDIT)-II KERALA, THIRUVANANTHAPURAM",1,4360,110,no,yes,https://rtionline.gov.in/request/allpa.php,2026-08-23T06:45:58.414113+00:00
RTI Online,107,"PAG/AG (AUDIT-II), Madhya Pradesh, Bhopal",1,4247,110,no,yes,https://rtionline.gov.in/request/allpa.php,2026-08-23T06:45:58.414113+00:00
RTI Online,108,"PAG/AG (AUDIT) - II, Maharashtra, Nagpur",1,4320,110,no,yes,https://rtionline.gov.in/request/allpa.php,2026-08-23T06:45:58.414113+00:00
RTI Online,109,"PAG/AG (Audit)-II, Odisha, Bhubaneswar",1,4250,110,no,yes,https://rtionline.gov.in/request/allpa.php,2026-08-23T06:45:58.414113+00:00
RTI Online,110,"PAG/AG (AUDIT)-II, Rajasthan, Jaipur",1,4292,110,no,yes,https://rtionline.gov.in/request/allpa.php,2026-08-23T06:45:58.414113+00:00
RTI Online,111,"PAG/AG (AUDIT)-II, Uttar Pradesh, Lucknow",1,4310,110,no,yes,https://rtionline.gov.in/request/allpa.php,2026-08-23T06:45:58.414113+00:00
RTI Online,112,"PAG/AG (AUDIT)-II, West Bengal, Kolkata",1,4302,110,no,yes,https://rtionline.gov.in/request/allpa.php,2026-08-23T06:45:58.414113+00:00
RTI Online,113,"PAG/AG (AUDIT)-I, Karnataka, Bengaluru",1,4244,110,no,yes,https://rtionline.gov.in/request/allpa.php,2026-08-23T06:45:58.414113+00:00
RTI Online,114,"PAG/AG (AUDIT)-I KERALA, THIRUVANANTHAPURAM",1,4359,110,no,yes,https://rtionline.gov.in/request/allpa.php,2026-08-23T06:45:58.414113+00:00
RTI Online,115,"PAG/AG (AUDIT)-I, Madhya Pradesh, Gwalior",1,4277,110,no,yes,https://rtionline.gov.in/request/allpa.php,2026-08-23T06:45:58.414113+00:00
RTI Online,116,"PAG/AG (Audit) - I, Maharashtra, Mumbai",1,4312,110,no,yes,https://rtionline.gov.in/request/allpa.php,2026-08-23T06:45:58.414113+00:00
RTI Online,117,"PAG/AG (Audit)-I, Odisha, Bhubaneswar",1,4249,110,no,yes,https://rtionline.gov.in/request/allpa.php,2026-08-23T06:45:58.414113+00:00
RTI Online,118,"PAG/AG (Audit)-I, Prayagraj (UP)",1,4240,110,no,yes,https://rtionline.gov.in/request/allpa.php,2026-08-23T06:45:58.414113+00:00
RTI Online,119,"PAG/AG (AUDIT)-I, Rajasthan, Jaipur",1,4291,110,no,yes,https://rtionline.gov.in/request/allpa.php,2026-08-23T06:45:58.414113+00:00
RTI Online,120,"PAG/AG (AUDIT)-I, West Bengal, Kolkata",1,4301,110,no,yes,https://rtionline.gov.in/request/allpa.php,2026-08-23T06:45:58.414113+00:00
RTI Online,121,"PAG/AG (AUDIT) JAMMU & KASHMIR, SRINAGAR",1,4356,110,no,yes,https://rtionline.gov.in/request/allpa.php,2026-08-23T06:45:58.414113+00:00
RTI Online,122,"PAG/AG (AUDIT) JHARKHAND, RANCHI",1,4345,110,no,yes,https://rtionline.gov.in/request/allpa.php,2026-08-23T06:45:58.414113+00:00
RTI Online,123,"PAG/AG (AUDIT), Kohima",1,4297,110,no,yes,https://rtionline.gov.in/request/allpa.php,2026-08-23T06:45:58.414113+00:00
RTI Online,124,"PAG/AG (AUDIT), Manipur, Imphal",1,4287,110,no,yes,https://rtionline.gov.in/request/allpa.php,2026-08-23T06:45:58.414113+00:00
RTI Online,125,"PAG/AG (AUDIT MEGHALAYA, SHILLONG",1,4350,110,no,yes,https://rtionline.gov.in/request/allpa.php,2026-08-23T06:45:58.414113+00:00
RTI Online,126,PAG/AG (AUDIT) NEW DELHI,1,4329,110,no,yes,https://rtionline.gov.in/request/allpa.php,2026-08-23T06:45:58.414113+00:00
RTI Online,127,"PAG/AG (AUDIT), Punjab, Chandigarh",1,4257,110,no,yes,https://rtionline.gov.in/request/allpa.php,2026-08-23T06:45:58.414113+00:00
RTI Online,128,"PAG/AG (AUDIT), Sikkim, Gangtok",1,4269,110,no,yes,https://rtionline.gov.in/request/allpa.php,2026-08-23T06:45:58.414113+00:00
RTI Online,129,"PAG/AG (AUDIT), Telangana, Hyderabad",1,4283,110,no,yes,https://rtionline.gov.in/request/allpa.php,2026-08-23T06:45:58.414113+00:00
RTI Online,130,"PAG/AG (Audit), Tripura, Agartala",1,4235,110,no,yes,https://rtionline.gov.in/request/allpa.php,2026-08-23T06:45:58.414113+00:00
RTI Online,131,"PAG/AG (Audit), Uttarakhand, Dehradun",1,4267,110,no,yes,https://rtionline.gov.in/request/allpa.php,2026-08-23T06:45:58.414113+00:00
RTI Online,132,"PAG/AG, Goa",1,4270,110,no,yes,https://rtionline.gov.in/request/allpa.php,2026-08-23T06:45:58.414113+00:00
RTI Online,133,"PAG/AG, Punjab, Chandigarh",1,4254,110,no,yes,https://rtionline.gov.in/request/allpa.php,2026-08-23T06:45:58.414113+00:00
RTI Online,134,"PD/DG OF COMMERCIAL AUDIT, Mumbai",1,4315,110,no,yes,https://rtionline.gov.in/request/allpa.php,2026-08-23T06:45:58.414113+00:00
RTI Online,135,"Pr. .ACCOUNTANT GENERAL (A & E) JHARKHAND, RANCHI",1,4344,110,no,yes,https://rtionline.gov.in/request/allpa.php,2026-08-23T06:45:58.414113+00:00
RTI Online,136,"Sr. DAG/DAG (A & E), Sikkim, Gangtok",1,4268,110,no,yes,https://rtionline.gov.in/request/allpa.php,2026-08-23T06:45:58.414113+00:00
RTI Online,137,Department of Administrative Reforms & PG,0,76,74,no,yes,https://rtionline.gov.in/request/allpa.php,2026-08-23T06:45:58.414113+00:00
RTI Online,138,Department of Agricultural Research & Education,0,13,9,yes,no,https://rtionline.gov.in/request/allpa.php,2026-08-23T06:45:58.414113+00:00
RTI Online,139,Agricultural Scientists Recruitment Board,1,3707,13,no,yes,https://rtionline.gov.in/request/allpa.php,2026-08-23T06:45:58.414113+00:00
RTI Online,140,Agricultural Technology Application Research Institute Zone I (ICAR),1,3258,13,no,yes,https://rtionline.gov.in/request/allpa.php,2026-08-23T06:45:58.414113+00:00
RTI Online,141,Agricultural Technology Application Research Institute Zone II (ICAR),1,3259,13,no,yes,https://rtionline.gov.in/request/allpa.php,2026-08-23T06:45:58.414113+00:00
RTI Online,142,Agricultural Technology Application Research Institute Zone III (ICAR),1,3260,13,no,yes,https://rtionline.gov.in/request/allpa.php,2026-08-23T06:45:58.414113+00:00
RTI Online,143,Agricultural Technology Application Research Institute Zone IV (ICAR),1,3261,13,no,yes,https://rtionline.gov.in/request/allpa.php,2026-08-23T06:45:58.414113+00:00
RTI Online,144,Agricultural Technology Application Research Institute Zone -IX (ICAR),1,4040,13,no,yes,https://rtionline.gov.in/request/allpa.php,2026-08-23T06:45:58.414113+00:00
RTI Online,145,Agricultural Technology Application Research Institute Zone VI (ICAR),1,3262,13,no,yes,https://rtionline.gov.in/request/allpa.php,2026-08-23T06:45:58.414113+00:00
RTI Online,146,"Agricultural Technology Application Research Institute, Zone VIII (ICAR)",1,2440,13,no,yes,https://rtionline.gov.in/request/allpa.php,2026-08-23T06:45:58.414113+00:00
RTI Online,147,Agrinnovate India Ltd.,1,4110,13,no,yes,https://rtionline.gov.in/request/allpa.php,2026-08-23T06:45:58.414113+00:00
RTI Online,148,"Central Agricultural University, Imphal",1,745,13,no,yes,https://rtionline.gov.in/request/allpa.php,2026-08-23T06:45:58.414113+00:00
RTI Online,149,Central Agroforestry Research Institute(ICAR),1,2396,13,no,yes,https://rtionline.gov.in/request/allpa.php,2026-08-23T06:45:58.414113+00:00
RTI Online,150,Central Arid Zone Research Institute (ICAR),1,2451,13,no,yes,https://rtionline.gov.in/request/allpa.php,2026-08-23T06:45:58.414113+00:00
RTI Online,151,Central Avian Research Institute (ICAR),1,2386,13,no,yes,https://rtionline.gov.in/request/allpa.php,2026-08-23T06:45:58.414113+00:00
RTI Online,152,Central Citrus Research Institute (ICAR),1,2424,13,no,yes,https://rtionline.gov.in/request/allpa.php,2026-08-23T06:45:58.414113+00:00
RTI Online,153,Central Coastal Agricultural Research Institute (ICAR),1,2380,13,no,yes,https://rtionline.gov.in/request/allpa.php,2026-08-23T06:45:58.414113+00:00
RTI Online,154,Central Inland Fisheries Research Institute (ICAR),1,2389,13,no,yes,https://rtionline.gov.in/request/allpa.php,2026-08-23T06:45:58.414113+00:00
RTI Online,155,Central Institue for Women in Agriculture (ICAR),1,2437,13,no,yes,https://rtionline.gov.in/request/allpa.php,2026-08-23T06:45:58.414113+00:00
RTI Online,156,Central Institute for Arid Horticulture (ICAR),1,2375,13,no,yes,https://rtionline.gov.in/request/allpa.php,2026-08-23T06:45:58.414113+00:00
RTI Online,157,Central Institute for Cotton Research (ICAR),1,2372,13,no,yes,https://rtionline.gov.in/request/allpa.php,2026-08-23T06:45:58.414113+00:00
RTI Online,158,Central Institute for Research on Buffaloes (ICAR),1,2445,13,no,yes,https://rtionline.gov.in/request/allpa.php,2026-08-23T06:45:58.414113+00:00
RTI Online,159,Central Institute for Research on Cattle (ICAR),1,2434,13,no,yes,https://rtionline.gov.in/request/allpa.php,2026-08-23T06:45:58.414113+00:00
RTI Online,160,Central Institute for Research on Cotton Technology (ICAR),1,2422,13,no,yes,https://rtionline.gov.in/request/allpa.php,2026-08-23T06:45:58.414113+00:00
